"type","title","description","link","screenshot"
"LDA Topic Modeling","Mallet","MALLET is a Java-based package for statistical natural language processing, document classification, clustering, topic modeling, information extraction, and other machine learning applications to text.","https://mimno.github.io/Mallet/","/assets/images/TopicModeling_1.png"
"LDA Topic Modeling","jsLDA","The goals of this project are to (a) make running topic models easy for anyone with a modern web browser, (b) demonstrate the potential of statistical computing in Javascript and (c) allow tighter integration between models and web-based visualizations.","https://mimno.infosci.cornell.edu/jsLDA/jslda.html","/assets/images/TopicModeling_2.png"
"LDA Topic Modeling","TopicsExplorer","This application provides a simple and intuitive interface for exploring your own text corpus using latent Dirichlet allocation, one of the most popular topic models.","https://dariah-de.github.io/TopicsExplorer/","/assets/images/TopicModeling_3.png"
"Other Topic Modeling Approaches","IRaMuTeQ","Free software for multiple types of text analysis. It includes the Reinert method.","https://pratinaud.gitpages.huma-num.fr/iramuteq-website/","/assets/images/TopicModeling_4.png"
"Other Topic Modeling Approaches","BERTopic","BERTopic is a topic modeling technique that leverages 🤗 transformers and c-TF-IDF to create dense clusters allowing for easily interpretable topics whilst keeping important words in the topic descriptions.","https://maartengr.github.io/BERTopic/","/assets/images/TopicModeling_5.png"
