"type","title","description","funded_by","duration","link","screenshot"
"Computational Literary Studies Projects","Distant Reading for European Literary History","A network of researchers jointly developing the resources and methods for the computational study of European literary history.","European Commission","2017-2022","https://www.distant-reading.net/","/assets/images/Introduction_1.png"
"Computational Literary Studies Projects","SPP (Schwerpunktprogramme) 2207 Computational Literary Studies","A priority programme dedicated to developig and establishing innovative computational methods in the field of literary studies.","German Research Foundation (DFG)","2019-present","https://dfg-spp-cls.github.io/","/assets/images/Introduction_2.png"
"Computational Literary Studies Projects","Computational Literary Studies Infrastructure (CLS INFRA)","A four-year partnership to build a shared resource of high-quality data, tools and knowledge to aid new approaches to studying literature in the digital age. ","European Commission","2021-2025","https://clsinfra.io/","/assets/images/Introduction_3.png"
