type,title,description,link,screenshot
Text Analysis Platforms,Voyant tools,Voyant Tools is a web-based reading and analysis environment for digital texts.,https://voyant-tools.org/,/assets/images/TextAnalysis_1.png
Text Analysis Platforms,AntConc,A freeware corpus analysis toolkit for concordancing and text analysis,https://www.laurenceanthony.net/software/antconc/,/assets/images/TextAnalysis_2.png
Text Analysis Platforms,TXM,"Textometry, born in France in the 80’s, has developed powerful techniques for the analysis of large body of texts. Following lexicometry and text statistical analysis, it offers tools and methods tested in multiple branches of the humanities and is statistically well founded. The project brings together open-source Textometry software developments to set up a modular platform called TXM. ",https://txm.gitpages.huma-num.fr/textometrie/en/,/assets/images/TextAnalysis_3.png
NLP Tools,Udpipe,"UDPipe is a trainable pipeline for tokenization, tagging, lemmatization and dependency parsing of CoNLL-U files. UDPipe is language-agnostic and can be trained given annotated data in CoNLL-U format. Trained models are provided for nearly all UD treebanks. UDPipe is available as a binary for Linux/Windows/OS X, as a library for C++, Python, Perl, Java, C#, and as a web service. Third-party R CRAN package also exists.",https://lindat.mff.cuni.cz/services/udpipe/,/assets/images/TextAnalysis_4.png
NLP Tools,spaCy,"spaCy is a free, open-source library for advanced Natural Language Processing (NLP) in Python.",https://spacy.io/,/assets/images/TextAnalysis_5.png
NLP Tools,Stanza,"Stanza is a collection of accurate and efficient tools for the linguistic analysis of many human languages. Starting from raw text, Stanza divides it into sentences and words, and then can recognize parts of speech and entities, do syntactic analysis, and more. Stanza brings state-of-the-art NLP models to languages of your choosing.",https://stanfordnlp.github.io/stanza/,/assets/images/TextAnalysis_6.png
