"type","title","description","link","screenshot"
"Sentiment Analysis Software","syuzhet","The Syuzhet package attempts to reveal the latent structure of narrative by means of sentiment analysis. Instead of detecting shifts in the topic or subject matter of the narrative, the Syuzhet package reveals the emotional shifts that serve as proxies for the narrative movement between conflict and conflict resolution.","https://github.com/mjockers/syuzhet","/assets/images/SentimentAnalysis_1.png"
"Sentiment Analysis Software","VADER","VADER (Valence Aware Dictionary and sEntiment Reasoner) is a lexicon and rule-based sentiment analysis tool that is specifically attuned to sentiments expressed in social media.","https://github.com/cjhutto/vadersentiment","/assets/images/SentimentAnalysis_2.png"
"Sentiment Analysis Software","SentiArt","A simple vector space model based tool for sentiment analysis of literary texts.","https://github.com/matinho13/SentiArt","/assets/images/SentimentAnalysis_3.png"
"Sentiment Analysis Software","SEANCE","SEANCE is an easy to use tool that includes 254 core indices and 20 component indices based on recent advances in sentiment analysis. In addition to the core indices, SEANCE allows for a number of customized indices including filtering for particular parts of speech and controlling for instances of negation.","https://www.linguisticanalysistools.org/seance.html","/assets/images/SentimentAnalysis_4.png"
"Sentiment Analysis Resources","NRC emotion lexicon (EmoLex)","The NRC Emotion Lexicon is a list of English words and their associations with eight basic emotions (anger, fear, anticipation, trust, surprise, sadness, joy, and disgust) and two sentiments (negative and positive). The annotations were manually done by crowdsourcing.","https://saifmohammad.com/WebPages/NRC-Emotion-Lexicon.htm","/assets/images/SentimentAnalysis_5.png"
"Sentiment Analysis Resources","REMAN (Relational EMotion Annotation)","An annotated emotion dataset for literary texts that includes not only emotion labels but also relational information (e.g., experiencer, cause, target).","https://www.ims.uni-stuttgart.de/en/research/resources/corpora/reman/","/assets/images/SentimentAnalysis_6.png"
"Sentiment Analysis Resources","ChildTale-A","The childTale-A corpus is a collection of eighty fairy tales, a core set of the Grimms’ Children's and Household Tales as introduced in Herrmann & Lüdtke (2023). Within the CHYLSA project, textually encoded emotions were annotated in each sentence in each of the eighty fairy tales. Annotations were collected for the dimensions valence and arousal, as well as for the six basic emotions anger, disgust, fear, joy, sadness, and surprise. Each fairy tale was annotated by two persons","https://zenodo.org/records/7737329","/assets/images/SentimentAnalysis_7.png"
